Contract Address,User Address,Invested Value,Distributed tokens value,Status
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x74232f8fa0c511c4a119c18583a8be8a13b30d84,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x6f93a5fa5763779114bdc1bac32eace0cf8a6d95,0.39815,139.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x66ec86208f6646217bf41ffb5be5f7a9898800d7,1,350,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x4b3e8343c10a841410aca62763cade7bf872520c,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x7a3fe3d1891ceecb165c7fdb36b8713cda635c5c,0.527975,184.79125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x4992b5eb87cf4b3fda6a1eb50910533297e85933,1.2,420,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xee79b3e9f30c39f6531375280373a18be41a8edf,0.1,35,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xca4025f63cec0b2b19f251bee7f90b6e79de7ff0,3.27975,1147.9125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xd75a3b6b3301e1c2be0d05f0b67c5459b5547218,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x991df4803ae6697286e1d70d5a28a02189cb31da,0.18,63,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x7e1f56dd40052872620e91c5aa518bafe81c977f,0.33,115.5,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x66cf58556dcaebbdbda1c8d1aa32a0b87c3a7b04,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xe401eeeb31cd89c0c799b332b182c24db7bbd667,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x2848c0260581133973343523ed2041ceba8b986e,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x03eb2005a8029f3e69ff3d43c72335f83ff5f7f7,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xa70e6fe4488104be32b9b657f5be7b68afc17f9a,3.27975,1147.9125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xdda73dd604805c16db2750b94c5ad844ed6cfbca,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xfeed87cceb7f26c350d110f2fcd8aa185ba851e6,0.152,53.199999999999996,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x013ed2e1a3c09578c499a40b98b53c771508fbc0,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xa54a9e29c0b791a4e9b005eaeda7fdff8d54250d,0.79,276.5,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xcf08b1906459e85442c4723139cb67753277a9ff,0.4,140,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xd883c20c47d432aa433f0f787855d999f017b13d,0.27,94.5,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x32b2e0076ef16342415b24f3dffb08ce2263421d,1.2,420,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xb13e51b376ec37c56f16c86400e7c5ff214a424d,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xa4bb0669b8d5a4b4836eff558edb9f0b7343584e,0.3,105,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xb842457fa57ea6f4fc8588c56e2e60232e12cbc1,3.27975,1147.9125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x2de073bd1728f6674a2569edff12756bff04b0b7,3.15,1102.5,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x6d75151ee70f409175ca223da90be8f55703dbf5,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x87030c4361961802ccbbbf795e120baaa4e34c2f,1,350,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x0373e68e6607cd8402c97a213f3922cd828199ab,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x933af32d9beb6472a802f6b42731e1e4a33dbabe,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x92def31aa8ee93905c59ebf9b5a2077afe7a62e9,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xbd9c45731542e167c920f857b65319b203d8cf40,0.7,244.99999999999997,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xd44f9d4d23fb22d79b03c25b4d52cee6cf22f5e1,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x069805e7f0bc649a65f4a46d37437835dced8a10,0.79,276.5,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x178c9d7b3edb5cd443f5370271724a2143a24635,3.27975,1147.9125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xfd3aef79ec69d3fbeda438d34f6132cb607a769a,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x011f4fab145210f8bde8ec77cb360cea0949e262,0.1,35,0
